ep01,ep04,pi02,pv01,lm01,lm02,hs01,hs04,hs06,hs07,sex,age,iscd975,work,inc,miscd975,fiscd975,gkpol,hhinc,mstat,gd02,fe13,fe14,fe15,fe16,fe17,mc04,im18,xt10
TEILS TEILS,GLEICHBLEIBEND,SOZ.LEIST.KUERZEN,CDU-CSU,AN ALLEN 7 TAGEN,330.0,ZUFRIEDENSTELLEND,OFT,FAST NIE,FAST NIE,FRAU,54.0,UPPER SECONDARY,"TEILZEIT, HALBTAGS",938,UPPER SECONDARY,UPPER SECONDARY,500.000 UND MEHR E.,4250,VERHEIRAT.ZUSAM.LEB.,,DRITTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,,STIMME GAR NICHT ZU,103.0
TEILS TEILS,ETWAS BESSER,SOZ.LEIST.AUSWEITEN,AFD,AN ALLEN 7 TAGEN,300.0,WENIGER GUT,,,,FRAU,50.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,813,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,1875,VERHEIRAT.ZUSAM.LEB.,6,,,,,,JA,STIMME EHER ZU,60.0
GUT,GLEICHBLEIBEND,SOZ.LEIST.WIE BISHER,CDU-CSU,NIE,,SEHR GUT,IMMER,FAST NIE,MANCHMAL,FRAU,23.0,UPPER SECONDARY,NEBENHER BERUFSTAE.,2125,UPPER SECONDARY,LOWER SECONDARY,500.000 UND MEHR E.,2125,LEDIG,,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME EHER ZU,20.0
,,SOZ.LEIST.WIE BISHER,SPD,AN 5 TAGEN,90.0,SEHR GUT,OFT,MANCHMAL,IMMER,FRAU,25.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",3250,UPPER SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,5500,LEDIG,1,DRITTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,JA,STIMME EHER ZU,52.0
,,SOZ.LEIST.AUSWEITEN,DIE LINKE,AN ALLEN 7 TAGEN,190.0,ZUFRIEDENSTELLEND,FAST NIE,OFT,MANCHMAL,MANN,65.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,1438,UPPER SECONDARY,UPPER SECONDARY,50.000 - 99.999 EINW,3250,VERHEIRAT.ZUSAM.LEB.,26,,,AM WICHTIGSTEN,,ZWEITE STELLE,JA,STIMME VOLL ZU,70.0
,,SOZ.LEIST.WIE BISHER,,AN ALLEN 7 TAGEN,270.0,ZUFRIEDENSTELLEND,OFT,FAST NIE,MANCHMAL,MANN,56.0,UPPER SECONDARY,"VOLLZEIT, GANZTAGS",2900,UPPER SECONDARY,TERTIARY EDUCATION,5.000  - 19.999 EINW,2900,VERHEIRAT.ZUSAM.LEB.,56,,,ZWEITE STELLE,,AM WICHTIGSTEN,NEIN,STIMME EHER NICHT ZU,125.0
,,SOZ.LEIST.WIE BISHER,SPD,AN 6 TAGEN,210.0,SEHR GUT,NIE,IMMER,IMMER,MANN,72.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,1625,UPPER SECONDARY,UPPER SECONDARY,BIS 1.999 EINWOHNER,1625,VERHEIRAT.ZUSAM.LEB.,42,VIERTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,FUENFTE STELLE,ZWEITE STELLE,JA,STIMME VOLL ZU,165.0
TEILS TEILS,ETWAS SCHLECHTER,SOZ.LEIST.KUERZEN,AFD,AN 6 TAGEN,150.0,WENIGER GUT,OFT,FAST NIE,OFT,MANN,52.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",1875,TERTIARY EDUCATION,TERTIARY EDUCATION,20.000 - 49.999 EINW,3250,VERHEIRAT.ZUSAM.LEB.,,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME GAR NICHT ZU,44.0
TEILS TEILS,GLEICHBLEIBEND,SOZ.LEIST.AUSWEITEN,SPD,AN 6 TAGEN,75.0,ZUFRIEDENSTELLEND,MANCHMAL,MANCHMAL,MANCHMAL,MANN,68.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,2125,LOWER SECONDARY,UPPER SECONDARY,2.000  -  4.999 EINW,2125,LEDIG,,DRITTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,,STIMME EHER NICHT ZU,30.0
,,SOZ.LEIST.WIE BISHER,DIE GRUENEN,AN ALLEN 7 TAGEN,120.0,SEHR GUT,FAST NIE,OFT,MANCHMAL,FRAU,55.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",4250,LOWER SECONDARY,TERTIARY EDUCATION,500.000 UND MEHR E.,4250,LEDIG,11,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,NEIN,STIMME EHER ZU,30.0
,,SOZ.LEIST.AUSWEITEN,DIE LINKE,AN 4 TAGEN,120.0,GUT,FAST NIE,OFT,FAST NIE,MANN,31.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",3300,TERTIARY EDUCATION,TERTIARY EDUCATION,500.000 UND MEHR E.,3300,LEDIG,3,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,NEIN,STIMME EHER ZU,37.0
GUT,ETWAS SCHLECHTER,SOZ.LEIST.AUSWEITEN,SPD,AN ALLEN 7 TAGEN,210.0,ZUFRIEDENSTELLEND,NIE,IMMER,MANCHMAL,MANN,79.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,1600,LOWER SECONDARY,UPPER SECONDARY,500.000 UND MEHR E.,2100,VERHEIRAT.ZUSAM.LEB.,,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME EHER ZU,41.0
SEHR GUT,WESENTLICH BESSER,SOZ.LEIST.AUSWEITEN,DIE LINKE,AN ALLEN 7 TAGEN,,SCHLECHT,,,,MANN,62.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,813,LOWER SECONDARY,TERTIARY EDUCATION,2.000  -  4.999 EINW,1625,LEDIG,62,,,,,,NEIN,STIMME VOLL ZU,15.0
GUT,ETWAS SCHLECHTER,SOZ.LEIST.AUSWEITEN,DIE GRUENEN,AN ALLEN 7 TAGEN,220.0,GUT,OFT,MANCHMAL,MANCHMAL,FRAU,67.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,938,LOWER SECONDARY,UPPER SECONDARY,500.000 UND MEHR E.,3750,VERHEIRAT.ZUSAM.LEB.,,FUENFTE STELLE,VIERTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME EHER ZU,160.0
GUT,ETWAS BESSER,SOZ.LEIST.WIE BISHER,FDP,AN ALLEN 7 TAGEN,360.0,GUT,,,,MANN,66.0,TERTIARY EDUCATION,NICHT ERWERBSTAETIG,3300,LOWER SECONDARY,UPPER SECONDARY,50.000 - 99.999 EINW,3300,LEDIG,10,,,,,,,STIMME EHER NICHT ZU,90.0
TEILS TEILS,GLEICHBLEIBEND,,,AN 6 TAGEN,210.0,ZUFRIEDENSTELLEND,OFT,MANCHMAL,FAST NIE,FRAU,23.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",1950,UPPER SECONDARY,LOWER SECONDARY,2.000  -  4.999 EINW,1950,LEDIG,,VIERTE STELLE,FUENFTE STELLE,ZWEITE STELLE,DRITTE STELLE,AM WICHTIGSTEN,,STIMME EHER ZU,37.0
,,SOZ.LEIST.WIE BISHER,CDU-CSU,AN ALLEN 7 TAGEN,180.0,GUT,OFT,MANCHMAL,MANCHMAL,FRAU,83.0,UPPER SECONDARY,NICHT ERWERBSTAETIG,,LOWER SECONDARY,UPPER SECONDARY,100.000 - 499.999 E.,,VERHEIRAT.ZUSAM.LEB.,59,FUENFTE STELLE,DRITTE STELLE,AM WICHTIGSTEN,VIERTE STELLE,ZWEITE STELLE,NEIN,STIMME EHER NICHT ZU,45.0
GUT,ETWAS BESSER,SOZ.LEIST.AUSWEITEN,DIE GRUENEN,AN ALLEN 7 TAGEN,,GUT,NIE,MANCHMAL,MANCHMAL,FRAU,62.0,UPPER SECONDARY,"TEILZEIT, HALBTAGS",450,LOWER SECONDARY,UPPER SECONDARY,100.000 - 499.999 E.,2625,VERHEIRAT.ZUSAM.LEB.,,VIERTE STELLE,FUENFTE STELLE,AM WICHTIGSTEN,DRITTE STELLE,ZWEITE STELLE,,STIMME VOLL ZU,95.0
GUT,ETWAS SCHLECHTER,SOZ.LEIST.WIE BISHER,FDP,AN EINEM TAG,120.0,GUT,OFT,FAST NIE,OFT,MANN,41.0,TERTIARY EDUCATION,"VOLLZEIT, GANZTAGS",2125,UPPER SECONDARY,UPPER SECONDARY,5.000  - 19.999 EINW,3750,LEDIG,,DRITTE STELLE,FUENFTE STELLE,ZWEITE STELLE,VIERTE STELLE,AM WICHTIGSTEN,,STIMME EHER NICHT ZU,120.0
